culture,concept,emotion,count,bucket
zh,domestic interior,contentment,89,N >= 30
zh,shades of grey,disgust,89,N >= 30
zh,bare trees,contentment,88,N >= 30
zh,shades of green,contentment,88,N >= 30
zh,earthy tones,sadness,87,N >= 30
zh,meadow,contentment,86,N >= 30
zh,pale skin tones,contentment,86,N >= 30
zh,shrubbery,contentment,86,N >= 30
zh,yellow-green,contentment,86,N >= 30
zh,hills,disgust,85,N >= 30
zh,ochre,fear,85,N >= 30
zh,rural setting,contentment,85,N >= 30
zh,shades of grey,contentment,85,N >= 30
zh,dark brown,fear,84,N >= 30
zh,studio setting,contentment,84,N >= 30
zh,cross-hatching,contentment,82,N >= 30
zh,drapery,contentment,82,N >= 30
zh,vertical composition,disgust,82,N >= 30
zh,white,disgust,82,N >= 30
zh,child,contentment,81,N >= 30
zh,cream background,contentment,81,N >= 30
zh,deciduous trees,disgust,81,N >= 30
zh,forest green,contentment,81,N >= 30
zh,red seals,contentment,81,N >= 30
zh,shoreline,contentment,81,N >= 30
zh,table,contentment,81,N >= 30
zh,three-quarter view,contentment,81,N >= 30
zh,brown,fear,80,N >= 30
zh,green leaves,contentment,80,N >= 30
zh,riverbank,disgust,80,N >= 30
zh,stone wall,contentment,80,N >= 30
zh,creamy white,contentment,79,N >= 30
zh,impressionistic style,contentment,79,N >= 30
zh,off-white,contentment,79,N >= 30
zh,chiaroscuro,sadness,78,N >= 30
zh,red artist seals,disgust,78,N >= 30
zh,textured brushwork,contentment,78,N >= 30
zh,asymmetric composition,contentment,77,N >= 30
zh,dog,contentment,76,N >= 30
zh,grassy bank,contentment,76,N >= 30
zh,monochrome ink,disgust,76,N >= 30
zh,brown,disgust,75,N >= 30
zh,dark background,contentment,75,N >= 30
zh,portraiture,contentment,75,N >= 30
zh,watercolor,contentment,75,N >= 30
zh,watercolor painting,contentment,75,N >= 30
zh,blank background,contentment,73,N >= 30
zh,white,sadness,73,N >= 30
zh,centered composition,contentment,72,N >= 30
zh,monochrome ink,contentment,72,N >= 30
zh,oil on canvas,fear,72,N >= 30
zh,portrait,contentment,72,N >= 30
zh,river valley,disgust,72,N >= 30
zh,vertical composition,fear,72,N >= 30
zh,wooden fence,contentment,72,N >= 30
zh,cross-hatching,fear,71,N >= 30
zh,fine line drawing,disgust,71,N >= 30
zh,natural lighting,contentment,71,N >= 30
zh,profile view,contentment,71,N >= 30
zh,red,fear,71,N >= 30
zh,red seal impressions,contentment,71,N >= 30
zh,black,disgust,70,N >= 30
zh,flat perspective,disgust,70,N >= 30
zh,geometric patterns,contentment,70,N >= 30
zh,ink and color on silk,disgust,70,N >= 30
zh,stream,contentment,70,N >= 30
zh,tabletop,contentment,70,N >= 30
zh,warm tones,contentment,70,N >= 30
zh,red seal impressions,disgust,68,N >= 30
zh,soft pink,contentment,68,N >= 30
zh,cream white,contentment,67,N >= 30
zh,cross-hatching,sadness,67,N >= 30
zh,hanging scroll format,disgust,67,N >= 30
zh,indoor portrait,contentment,67,N >= 30
zh,wildflowers,contentment,67,N >= 30
zh,bridge,contentment,66,N >= 30
zh,white dress,contentment,66,N >= 30
zh,windows,contentment,66,N >= 30
zh,woodblock print,contentment,66,N >= 30
zh,dappled sunlight,contentment,65,N >= 30
zh,mountainous landscape,contentment,65,N >= 30
zh,woman,sadness,65,N >= 30
zh,artist seals,contentment,64,N >= 30
zh,creamy whites,contentment,64,N >= 30
zh,dark brown,sadness,64,N >= 30
zh,deep green,contentment,64,N >= 30
zh,horses,contentment,64,N >= 30
zh,red accents,contentment,64,N >= 30
zh,symmetrical composition,contentment,64,N >= 30
zh,field,contentment,63,N >= 30
zh,greens,contentment,63,N >= 30
zh,harbor,contentment,63,N >= 30
zh,oil painting,sadness,63,N >= 30
zh,branches,contentment,62,N >= 30
zh,expressive brushwork,contentment,62,N >= 30
zh,monochrome,sadness,62,N >= 30
zh,urban landscape,contentment,62,N >= 30
zh,wilderness,contentment,62,N >= 30
zh,book,contentment,61,N >= 30
zh,chair,contentment,61,N >= 30
zh,cloudy sky,contentment,61,N >= 30
zh,layered composition,contentment,61,N >= 30
zh,pointillism,contentment,61,N >= 30
zh,rural village,contentment,61,N >= 30
zh,vermilion red,contentment,61,N >= 30
zh,birds,contentment,60,N >= 30
zh,indoor setting,sadness,60,N >= 30
zh,red seal stamp,contentment,60,N >= 30
zh,sepia,contentment,60,N >= 30
zh,beige paper background,contentment,59,N >= 30
zh,blue,disgust,59,N >= 30
zh,dramatic lighting,contentment,59,N >= 30
zh,fences,contentment,59,N >= 30
zh,flat background,contentment,59,N >= 30
zh,shades of blue,contentment,59,N >= 30
zh,water reflections,contentment,59,N >= 30
zh,dark grey,contentment,58,N >= 30
zh,low horizon line,contentment,58,N >= 30
zh,soft grey,contentment,58,N >= 30
zh,black,sadness,57,N >= 30
zh,charcoal grey,contentment,57,N >= 30
zh,earthy tones,fear,57,N >= 30
zh,gongbi technique,contentment,57,N >= 30
zh,hillside,contentment,57,N >= 30
zh,interior scene,contentment,57,N >= 30
zh,muted grey,contentment,57,N >= 30
zh,muted yellow,contentment,57,N >= 30
zh,ochre,disgust,57,N >= 30
zh,red seal stamp,disgust,57,N >= 30
zh,tan,contentment,57,N >= 30
zh,water,disgust,57,N >= 30
zh,boat,contentment,56,N >= 30
zh,cliffs,contentment,56,N >= 30
zh,clouds,fear,56,N >= 30
zh,grey,sadness,56,N >= 30
zh,hanging scroll format,contentment,56,N >= 30
zh,interior setting,contentment,56,N >= 30
zh,japanese calligraphy,contentment,56,N >= 30
zh,loose brushstrokes,contentment,56,N >= 30
zh,sepia,disgust,56,N >= 30
zh,beige background,disgust,55,N >= 30
zh,children,contentment,55,N >= 30
zh,dramatic lighting,fear,55,N >= 30
zh,hanging scroll,contentment,55,N >= 30
zh,man,sadness,55,N >= 30
zh,atmospheric perspective,sadness,54,N >= 30
zh,chiaroscuro lighting,sadness,54,N >= 30
zh,distant mountains,contentment,54,N >= 30
zh,dress,contentment,54,N >= 30
zh,fine line brushwork,disgust,54,N >= 30
zh,high-angle perspective,contentment,54,N >= 30
zh,negative space,contentment,54,N >= 30
zh,red seal,contentment,54,N >= 30
zh,soft natural lighting,contentment,54,N >= 30
zh,waterway,contentment,54,N >= 30
zh,atmospheric perspective,fear,53,N >= 30
zh,black and white,disgust,53,N >= 30
zh,chiaroscuro lighting,fear,53,N >= 30
zh,earthy tones,disgust,53,N >= 30
zh,landscape composition,contentment,53,N >= 30
zh,pale blue sky,contentment,53,N >= 30
zh,red seal ink,contentment,53,N >= 30
zh,shrubs,contentment,53,N >= 30
zh,waterfront,contentment,53,N >= 30
zh,white,awe,53,N >= 30
zh,earth tones,sadness,52,N >= 30
zh,pedestrians,contentment,52,N >= 30
zh,cityscape,contentment,51,N >= 30
zh,mist,contentment,51,N >= 30
zh,nature study,contentment,51,N >= 30
zh,post-impressionist style,contentment,51,N >= 30
zh,waves,contentment,51,N >= 30
zh,young woman,contentment,51,N >= 30
zh,asymmetrical composition,fear,50,N >= 30
zh,crimson red,contentment,50,N >= 30
zh,green,disgust,50,N >= 30
zh,light brown,contentment,50,N >= 30
zh,muted red,contentment,50,N >= 30
zh,reeds,contentment,50,N >= 30
zh,seaside,contentment,50,N >= 30
zh,sky blue,contentment,50,N >= 30
zh,clouds,sadness,49,N >= 30
zh,gold,disgust,49,N >= 30
zh,hats,contentment,49,N >= 30
zh,muted green,disgust,49,N >= 30
zh,people,contentment,49,N >= 30
zh,sailboats,contentment,49,N >= 30
zh,sandy beige,contentment,49,N >= 30
zh,sketch,sadness,49,N >= 30
zh,wooden chair,contentment,49,N >= 30
zh,beige paper background,disgust,48,N >= 30
zh,distant buildings,contentment,48,N >= 30
zh,flat perspective,fear,48,N >= 30
zh,floral patterns,contentment,48,N >= 30
zh,forest edge,contentment,48,N >= 30
zh,gold,fear,48,N >= 30
zh,ink and color on paper,contentment,48,N >= 30
zh,ink drawing,contentment,48,N >= 30
zh,monochromatic,contentment,48,N >= 30
zh,pavilion,contentment,48,N >= 30
zh,wooden table,contentment,48,N >= 30
zh,woodland edge,contentment,48,N >= 30
zh,blue,fear,47,N >= 30
zh,fine line work,disgust,47,N >= 30
zh,grey,fear,47,N >= 30
zh,handscroll format,disgust,47,N >= 30
zh,one-point perspective,contentment,47,N >= 30
zh,park,contentment,47,N >= 30
zh,red artist seal,contentment,47,N >= 30
zh,red ink,contentment,47,N >= 30
zh,red seals,disgust,47,N >= 30
zh,sailboat,contentment,47,N >= 30
zh,tall trees,contentment,47,N >= 30
zh,teal,contentment,47,N >= 30
zh,wilderness,disgust,47,N >= 30
zh,window,contentment,47,N >= 30
zh,women,contentment,47,N >= 30
zh,asymmetrical composition,sadness,46,N >= 30
zh,mist,disgust,46,N >= 30
zh,outdoor setting,fear,46,N >= 30
zh,rural countryside,contentment,46,N >= 30
zh,watercolor on paper,contentment,46,N >= 30
zh,waterfall,contentment,46,N >= 30
zh,beach scene,contentment,45,N >= 30
zh,brown,awe,45,N >= 30
zh,divisionism,contentment,45,N >= 30
zh,garden setting,contentment,45,N >= 30
zh,green foliage,contentment,45,N >= 30
zh,horse,contentment,45,N >= 30
zh,artist seal,contentment,44,N >= 30
zh,beige,sadness,44,N >= 30
zh,bushes,contentment,44,N >= 30
zh,city street,contentment,44,N >= 30
zh,clouds,disgust,44,N >= 30
zh,garden path,contentment,44,N >= 30
zh,halo,fear,44,N >= 30
zh,infant,contentment,44,N >= 30
zh,sketch,contentment,44,N >= 30
zh,smooth brushwork,contentment,44,N >= 30
zh,tree trunks,contentment,44,N >= 30
zh,clouds,awe,43,N >= 30
zh,grayscale,fear,43,N >= 30
zh,low-angle perspective,contentment,43,N >= 30
zh,muted brown,contentment,43,N >= 30
zh,outdoor setting,sadness,43,N >= 30
zh,pavilions,disgust,43,N >= 30
zh,red seal ink,disgust,43,N >= 30
zh,seal impressions,contentment,43,N >= 30
zh,textured background,contentment,43,N >= 30
zh,trees,fear,43,N >= 30
zh,detailed architectural rendering,contentment,42,N >= 30
zh,grey,disgust,42,N >= 30
zh,negative space,disgust,42,N >= 30
zh,night scene,contentment,42,N >= 30
zh,outdoor gathering,contentment,42,N >= 30
zh,pavilions,contentment,42,N >= 30
zh,three-quarter portrait,contentment,42,N >= 30
zh,vertical composition,sadness,42,N >= 30
zh,young girl,contentment,42,N >= 30
zh,blue sky,contentment,41,N >= 30
zh,cream,sadness,41,N >= 30
zh,detailed drapery,contentment,41,N >= 30
zh,flat color washes,contentment,41,N >= 30
zh,lake,contentment,41,N >= 30
zh,lotus motif,contentment,41,N >= 30
zh,pavilion,disgust,41,N >= 30
zh,robes,contentment,41,N >= 30
zh,tablecloth,contentment,41,N >= 30
zh,winter landscape,contentment,41,N >= 30
zh,bamboo leaves,contentment,40,N >= 30
zh,dirt road,contentment,40,N >= 30
zh,earth tones,fear,40,N >= 30
zh,figures,disgust,40,N >= 30
zh,fine line work,fear,40,N >= 30
zh,floral pattern,contentment,40,N >= 30
zh,hair,contentment,40,N >= 30
zh,hat,contentment,40,N >= 30
zh,high contrast,fear,40,N >= 30
zh,indoor still life,contentment,40,N >= 30
zh,trees,sadness,40,N >= 30
zh,visible brushstrokes,fear,40,N >= 30
zh,beige,disgust,39,N >= 30
zh,black and white,sadness,39,N >= 30
zh,bridge,disgust,39,N >= 30
zh,forest,contentment,39,N >= 30
zh,house,contentment,39,N >= 30
zh,line drawing,contentment,39,N >= 30
zh,panoramic view,contentment,39,N >= 30
zh,pathway,contentment,39,N >= 30
zh,pine tree,contentment,39,N >= 30
zh,sandy beach,contentment,39,N >= 30
zh,soft white,contentment,39,N >= 30
zh,white flowers,contentment,39,N >= 30
zh,browns,sadness,38,N >= 30
zh,chimneys,contentment,38,N >= 30
zh,cream,fear,38,N >= 30
zh,daytime,contentment,38,N >= 30
zh,flat color fields,contentment,38,N >= 30
zh,flesh tones,sadness,38,N >= 30
zh,geometric pattern,contentment,38,N >= 30
zh,high contrast,contentment,38,N >= 30
zh,lakeside,contentment,38,N >= 30
zh,oil on canvas texture,contentment,38,N >= 30
zh,tan background,contentment,38,N >= 30
zh,vibrant red,contentment,38,N >= 30
zh,crown,contentment,37,N >= 30
zh,full-length portrait,contentment,37,N >= 30
zh,hands,contentment,37,N >= 30
zh,masts,contentment,37,N >= 30
zh,monochromatic,sadness,37,N >= 30
zh,mountain,contentment,37,N >= 30
zh,red accents,disgust,37,N >= 30
zh,rural landscape,sadness,37,N >= 30
zh,thick brushstrokes,contentment,37,N >= 30
zh,vase,contentment,37,N >= 30
zh,black,amusement,36,N >= 30
zh,cliffs,disgust,36,N >= 30
zh,landscape painting,contentment,36,N >= 30
zh,pale blues,contentment,36,N >= 30
zh,river landscape,disgust,36,N >= 30
zh,rocky cliffs,contentment,36,N >= 30
zh,straw hat,contentment,36,N >= 30
zh,bearded man,contentment,35,N >= 30
zh,brushwork,disgust,35,N >= 30
zh,collar,contentment,35,N >= 30
zh,earring,contentment,35,N >= 30
zh,expressive brushwork,disgust,35,N >= 30
zh,gongbi style,contentment,35,N >= 30
zh,high-angle view,contentment,35,N >= 30
zh,monochromatic brown,disgust,35,N >= 30
zh,naturalistic lighting,contentment,35,N >= 30
zh,profile view,sadness,35,N >= 30
zh,red,awe,35,N >= 30
zh,red ink,disgust,35,N >= 30
zh,reddish brown,contentment,35,N >= 30
zh,seated figure,contentment,35,N >= 30
zh,seated woman,contentment,35,N >= 30
zh,shadows,contentment,35,N >= 30
zh,soft blue,contentment,35,N >= 30
zh,soft blues,contentment,35,N >= 30
zh,stone bridge,contentment,35,N >= 30
zh,water,fear,35,N >= 30
zh,willow trees,contentment,35,N >= 30
zh,yellow,fear,35,N >= 30
zh,grassy hill,contentment,34,N >= 30
zh,loose brushwork,fear,34,N >= 30
zh,outdoor setting,disgust,34,N >= 30
zh,pond,contentment,34,N >= 30
zh,reflections,contentment,34,N >= 30
zh,wooded area,contentment,34,N >= 30
zh,autumn scene,contentment,33,N >= 30
zh,beach,contentment,33,N >= 30
zh,boulders,contentment,33,N >= 30
zh,calligraphy,fear,33,N >= 30
zh,decorative borders,contentment,33,N >= 30
zh,expressive brushwork,fear,33,N >= 30
zh,ink and wash,contentment,33,N >= 30
zh,olive green,sadness,33,N >= 30
zh,realistic landscape,contentment,33,N >= 30
zh,sun,contentment,33,N >= 30
zh,warm ochre,contentment,33,N >= 30
zh,waterfall,disgust,33,N >= 30
zh,arched windows,contentment,32,N >= 30
zh,chinese calligraphy,fear,32,N >= 30
zh,fence,contentment,32,N >= 30
zh,fine line drawing,fear,32,N >= 30
zh,gold,awe,32,N >= 30
zh,ground,contentment,32,N >= 30
zh,half-length portrait,contentment,32,N >= 30
zh,handscroll format,contentment,32,N >= 30
zh,handwritten text,contentment,32,N >= 30
zh,headscarf,contentment,32,N >= 30
zh,light green,contentment,32,N >= 30
zh,line art,contentment,32,N >= 30
zh,man,fear,32,N >= 30
zh,minimalist background,contentment,32,N >= 30
zh,ochre yellow,contentment,32,N >= 30
zh,olive green,fear,32,N >= 30
zh,rowboat,contentment,32,N >= 30
zh,woodblock print,disgust,32,N >= 30
zh,wooden bridge,contentment,32,N >= 30
zh,beard,contentment,31,N >= 30
zh,blue,awe,31,N >= 30
zh,dark interior,contentment,31,N >= 30
zh,deep greens,contentment,31,N >= 30
zh,earthy greens,contentment,31,N >= 30
zh,figurative painting,contentment,31,N >= 30
zh,fine brushwork,sadness,31,N >= 30
zh,floral study,contentment,31,N >= 30
zh,foliage,disgust,31,N >= 30
zh,forest clearing,contentment,31,N >= 30
zh,geometric abstraction,contentment,31,N >= 30
zh,geometric patterns,fear,31,N >= 30
zh,green,fear,31,N >= 30
zh,high-contrast lighting,contentment,31,N >= 30
zh,human figures,contentment,31,N >= 30
zh,interior room,contentment,31,N >= 30
zh,japanese calligraphy,disgust,31,N >= 30
zh,nature close-up,contentment,31,N >= 30
zh,oil on panel,contentment,31,N >= 30
zh,oil painting,fear,31,N >= 30
zh,path,contentment,31,N >= 30
zh,patterned textiles,contentment,31,N >= 30
zh,rural retreat,disgust,31,N >= 30
zh,slate blue,contentment,31,N >= 30
zh,soft yellow,contentment,31,N >= 30
zh,terracotta,sadness,31,N >= 30
zh,tree,contentment,31,N >= 30
zh,vertical scroll format,contentment,31,N >= 30
zh,village scene,contentment,31,N >= 30
zh,basket,contentment,30,N >= 30
zh,beige,fear,30,N >= 30
zh,blank background,disgust,30,N >= 30
zh,central composition,contentment,30,N >= 30
zh,columns,contentment,30,N >= 30
zh,dark brown,disgust,30,N >= 30
zh,dresses,contentment,30,N >= 30
zh,leaves,disgust,30,N >= 30
zh,muted green,sadness,30,N >= 30
zh,necklace,contentment,30,N >= 30
zh,peaches,contentment,30,N >= 30
zh,sky,sadness,30,N >= 30
zh,stylized forms,contentment,30,N >= 30
zh,tan,disgust,30,N >= 30
zh,two women,contentment,30,N >= 30
zh,warm brown,contentment,30,N >= 30
zh,academic realism,contentment,29,10-29
zh,backyard,contentment,29,10-29
zh,canopy,contentment,29,10-29
zh,courtyard,contentment,29,10-29
zh,cream,disgust,29,10-29
zh,earth tones,disgust,29,10-29
zh,fine-line brushwork,contentment,29,10-29
zh,flat color planes,disgust,29,10-29
zh,halo,disgust,29,10-29
zh,lotus motif,disgust,29,10-29
zh,muted pink,contentment,29,10-29
zh,outdoor garden,contentment,29,10-29
zh,pale grey,contentment,29,10-29
zh,pasture,contentment,29,10-29
zh,red artist seal,disgust,29,10-29
zh,reddish-brown,contentment,29,10-29
zh,scholar,contentment,29,10-29
zh,vines,contentment,29,10-29
zh,woman,fear,29,10-29
zh,xieyi style,contentment,29,10-29
zh,calligraphy text,contentment,28,10-29
zh,canal,contentment,28,10-29
zh,coastal town,contentment,28,10-29
zh,curtain,contentment,28,10-29
zh,dark brown background,contentment,28,10-29
zh,dark hair,contentment,28,10-29
zh,delicate brushwork,contentment,28,10-29
zh,emerald green,contentment,28,10-29
zh,harbor scene,contentment,28,10-29
zh,horizontal composition,disgust,28,10-29
zh,ink wash,contentment,28,10-29
zh,lace collar,contentment,28,10-29
zh,loose brushwork,sadness,28,10-29
zh,mountains,fear,28,10-29
zh,mustache,contentment,28,10-29
zh,ochre,awe,28,10-29
zh,red flowers,contentment,28,10-29
zh,robes,disgust,28,10-29
zh,sage green,contentment,28,10-29
zh,sailing ships,contentment,28,10-29
zh,sepia,sadness,28,10-29
zh,sheep,contentment,28,10-29
zh,soft pinks,contentment,28,10-29
zh,stone steps,contentment,28,10-29
zh,stylized landscape,contentment,28,10-29
zh,turquoise,contentment,28,10-29
zh,ukiyo-e,contentment,28,10-29
zh,yellow,disgust,28,10-29
zh,bold black outlines,contentment,27,10-29
zh,cross,contentment,27,10-29
zh,dark green,fear,27,10-29
zh,daytime outdoor scene,contentment,27,10-29
zh,diptych layout,contentment,27,10-29
zh,elevated perspective,contentment,27,10-29
zh,fine brushwork,fear,27,10-29
zh,grapes,contentment,27,10-29
zh,green,awe,27,10-29
zh,monochromatic,fear,27,10-29
zh,mountainous terrain,contentment,27,10-29
zh,nature scene,contentment,27,10-29
zh,orange,fear,27,10-29
zh,outdoor scene,sadness,27,10-29
zh,robes,fear,27,10-29
zh,rocky cliff,contentment,27,10-29
zh,soft whites,contentment,27,10-29
zh,studio setting,disgust,27,10-29
zh,sword,contentment,27,10-29
zh,sword,fear,27,10-29
zh,symmetrical composition,fear,27,10-29
zh,tree branch,contentment,27,10-29
zh,vibrant green,contentment,27,10-29
zh,watercolor wash,contentment,27,10-29
zh,birch trees,contentment,26,10-29
zh,blue,sadness,26,10-29
zh,bold outlines,fear,26,10-29
zh,books,contentment,26,10-29
zh,dark background,sadness,26,10-29
zh,dark blue,fear,26,10-29
zh,distant trees,contentment,26,10-29
zh,fine line hatching,fear,26,10-29
zh,flat color planes,fear,26,10-29
zh,flesh tones,fear,26,10-29
zh,framed composition,contentment,26,10-29
zh,gold,sadness,26,10-29
zh,grassy hillside,contentment,26,10-29
zh,halos,contentment,26,10-29
zh,horse-drawn carriage,contentment,26,10-29
zh,linear perspective,sadness,26,10-29
zh,mountains,sadness,26,10-29
zh,muted earth tones,disgust,26,10-29
zh,portrait composition,contentment,26,10-29
zh,pyramidal composition,contentment,26,10-29
zh,rural retreat,contentment,26,10-29
zh,sunset scene,contentment,26,10-29
zh,textured brushstrokes,contentment,26,10-29
zh,textured brushwork,fear,26,10-29
zh,trousers,contentment,26,10-29
zh,turbans,contentment,26,10-29
zh,visible brushwork,contentment,26,10-29
zh,wooden bridge,disgust,26,10-29
zh,woodland clearing,contentment,26,10-29
zh,yellow,awe,26,10-29
zh,bare trees,disgust,25,10-29
zh,bird,contentment,25,10-29
zh,birds,disgust,25,10-29
zh,blue dress,contentment,25,10-29
zh,cobalt blue,contentment,25,10-29
zh,daytime scene,contentment,25,10-29
zh,deep purple,contentment,25,10-29
zh,diagonal composition,fear,25,10-29
zh,glass vase,contentment,25,10-29
zh,halo,sadness,25,10-29
zh,impasto texture,fear,25,10-29
zh,ink and color on paper,disgust,25,10-29
zh,neutral background,sadness,25,10-29
zh,olive green,disgust,25,10-29
zh,open book,contentment,25,10-29
zh,pale green,disgust,25,10-29
zh,pastel on paper,contentment,25,10-29
zh,rocky terrain,contentment,25,10-29
zh,sails,contentment,25,10-29
zh,sky,fear,25,10-29
zh,small figures,contentment,25,10-29
zh,snow,contentment,25,10-29
zh,soft green,contentment,25,10-29
zh,stone buildings,contentment,25,10-29
zh,stylized figures,contentment,25,10-29
zh,sunny day,contentment,25,10-29
