concept,count,bucket
textured paint application,168,N >= 30
monochrome ink,163,N >= 30
high horizon line,162,N >= 30
natural light,161,N >= 30
flowers,159,N >= 30
muted blue,159,N >= 30
studio portrait,157,N >= 30
muted earth tones,155,N >= 30
countryside,153,N >= 30
drapery,153,N >= 30
red seal impressions,152,N >= 30
sea,152,N >= 30
off-white,151,N >= 30
dramatic lighting,150,N >= 30
deep blue,148,N >= 30
impasto brushwork,148,N >= 30
geometric patterns,147,N >= 30
bare trees,146,N >= 30
expressive brushwork,146,N >= 30
red seals,144,N >= 30
textured brushwork,144,N >= 30
blank background,143,N >= 30
lavender,143,N >= 30
dirt path,142,N >= 30
distant hills,140,N >= 30
garden,139,N >= 30
grassy field,139,N >= 30
monochromatic,139,N >= 30
soft brushwork,139,N >= 30
dark background,138,N >= 30
hanging scroll format,138,N >= 30
muted blues,138,N >= 30
studio setting,136,N >= 30
wilderness,136,N >= 30
pale green,135,N >= 30
cream background,133,N >= 30
red seal stamp,133,N >= 30
muted tones,132,N >= 30
deep red,130,N >= 30
woodblock print,130,N >= 30
profile view,128,N >= 30
golden yellow,127,N >= 30
symmetrical composition,126,N >= 30
rural setting,125,N >= 30
tan,124,N >= 30
pale skin tones,121,N >= 30
japanese calligraphy,120,N >= 30
shrubbery,120,N >= 30
seascape,119,N >= 30
beige paper background,118,N >= 30
table,118,N >= 30
asymmetric composition,117,N >= 30
red accents,117,N >= 30
mist,116,N >= 30
dark grey,115,N >= 30
ink drawing,115,N >= 30
boats,114,N >= 30
stems,114,N >= 30
cliffs,113,N >= 30
bridge,112,N >= 30
domestic interior,112,N >= 30
sketch,112,N >= 30
birds,111,N >= 30
portrait,111,N >= 30
red seal ink,111,N >= 30
detailed brushwork,109,N >= 30
robes,109,N >= 30
shoreline,109,N >= 30
three-quarter view,108,N >= 30
stream,107,N >= 30
horses,106,N >= 30
mountainous landscape,106,N >= 30
portraiture,106,N >= 30
stone wall,105,N >= 30
watercolor,105,N >= 30
negative space,103,N >= 30
high contrast,102,N >= 30
branches,101,N >= 30
pavilion,101,N >= 30
centered composition,99,N >= 30
charcoal grey,97,N >= 30
natural daylight,97,N >= 30
forest green,96,N >= 30
green leaves,96,N >= 30
hanging scroll,96,N >= 30
child,95,N >= 30
muted red,95,N >= 30
pavilions,94,N >= 30
yellow-green,94,N >= 30
indoor portrait,93,N >= 30
shades of green,93,N >= 30
dog,92,N >= 30
flat background,92,N >= 30
red artist seal,92,N >= 30
reeds,92,N >= 30
rural village,91,N >= 30
impressionistic style,90,N >= 30
layered composition,90,N >= 30
lotus motif,90,N >= 30
meadow,90,N >= 30
red seal,90,N >= 30
watercolor painting,90,N >= 30
wooden fence,90,N >= 30
artist seals,89,N >= 30
creamy white,89,N >= 30
vermilion red,89,N >= 30
boat,88,N >= 30
chair,88,N >= 30
grayscale,88,N >= 30
interior setting,88,N >= 30
waves,88,N >= 30
red ink,87,N >= 30
warm tones,87,N >= 30
handscroll format,85,N >= 30
waterfall,85,N >= 30
grassy bank,84,N >= 30
line drawing,84,N >= 30
cream white,83,N >= 30
hair,83,N >= 30
natural lighting,83,N >= 30
distant mountains,82,N >= 30
hands,82,N >= 30
ink and color on paper,82,N >= 30
muted grey,82,N >= 30
fences,81,N >= 30
textured background,81,N >= 30
cloudy sky,79,N >= 30
field,79,N >= 30
low horizon line,79,N >= 30
seated figure,79,N >= 30
soft pink,79,N >= 30
sword,79,N >= 30
windows,79,N >= 30
book,77,N >= 30
bearded man,76,N >= 30
crimson red,76,N >= 30
interior scene,76,N >= 30
monochromatic brown,76,N >= 30
white dress,76,N >= 30
horse,75,N >= 30
pointillism,75,N >= 30
creamy whites,74,N >= 30
nature study,74,N >= 30
wildflowers,74,N >= 30
gongbi technique,73,N >= 30
hillside,73,N >= 30
human figures,73,N >= 30
night scene,73,N >= 30
seal impressions,73,N >= 30
tabletop,73,N >= 30
greens,72,N >= 30
deep green,71,N >= 30
flat color washes,71,N >= 30
geometric pattern,71,N >= 30
muted yellow,71,N >= 30
shades of blue,71,N >= 30
window,71,N >= 30
garden setting,70,N >= 30
rocky cliffs,70,N >= 30
beard,69,N >= 30
flat color fields,69,N >= 30
floral patterns,69,N >= 30
harbor,69,N >= 30
light brown,69,N >= 30
hat,68,N >= 30
pale blue sky,68,N >= 30
pine tree,68,N >= 30
waterway,68,N >= 30
artist seal,67,N >= 30
collar,67,N >= 30
low-angle perspective,67,N >= 30
minimalist background,67,N >= 30
teal,67,N >= 30
winter landscape,67,N >= 30
distant buildings,66,N >= 30
forest,66,N >= 30
shrubs,66,N >= 30
waterfront,66,N >= 30
boulders,65,N >= 30
dappled sunlight,65,N >= 30
ink wash,65,N >= 30
brushwork,64,N >= 30
children,64,N >= 30
dress,64,N >= 30
line art,64,N >= 30
mustache,64,N >= 30
soft grey,64,N >= 30
lakeside,63,N >= 30
ukiyo-e,63,N >= 30
urban landscape,63,N >= 30
wooden bridge,63,N >= 30
bamboo leaves,62,N >= 30
dark interior,62,N >= 30
geometric abstraction,62,N >= 30
loose brushstrokes,62,N >= 30
water reflections,62,N >= 30
wooden chair,62,N >= 30
high-angle perspective,61,N >= 30
minimalist composition,61,N >= 30
tree trunks,61,N >= 30
forest edge,60,N >= 30
handwritten text,60,N >= 30
patterned textiles,60,N >= 30
rural retreat,60,N >= 30
shades of gray,60,N >= 30
expressive linework,59,N >= 30
muted brown,59,N >= 30
one-point perspective,59,N >= 30
smooth brushwork,59,N >= 30
soft natural lighting,59,N >= 30
willow trees,59,N >= 30
young woman,59,N >= 30
gongbi style,58,N >= 30
landscape composition,58,N >= 30
mountainous terrain,58,N >= 30
watercolor wash,58,N >= 30
armor,57,N >= 30
calligraphy text,57,N >= 30
post-impressionist style,57,N >= 30
wooden table,57,N >= 30
figurative painting,56,N >= 30
floral pattern,56,N >= 30
hats,56,N >= 30
sandy beige,56,N >= 30
three-quarter portrait,56,N >= 30
women,56,N >= 30
crown,55,N >= 30
human figure,55,N >= 30
ink and wash,55,N >= 30
people,55,N >= 30
rural countryside,55,N >= 30
sailboats,55,N >= 30
seaside,55,N >= 30
cityscape,54,N >= 30
lake,54,N >= 30
sky blue,54,N >= 30
tan background,54,N >= 30
ground,53,N >= 30
masts,53,N >= 30
mountain,53,N >= 30
outdoor gathering,53,N >= 30
park,53,N >= 30
scholar,53,N >= 30
seals,53,N >= 30
tall trees,53,N >= 30
columns,52,N >= 30
face,52,N >= 30
green foliage,52,N >= 30
ink on paper,52,N >= 30
interior room,52,N >= 30
pathway,52,N >= 30
pedestrians,52,N >= 30
rocky landscape,52,N >= 30
rocky terrain,52,N >= 30
sailboat,52,N >= 30
xieyi style,52,N >= 30
divisionism,51,N >= 30
hieratic scale,51,N >= 30
staff,51,N >= 30
vertical scroll format,51,N >= 30
woodland edge,51,N >= 30
beach scene,50,N >= 30
detailed architectural rendering,50,N >= 30
headscarf,50,N >= 30
mountain peaks,50,N >= 30
sun,50,N >= 30
watercolor on paper,50,N >= 30
cross,49,N >= 30
detailed drapery,49,N >= 30
diptych layout,49,N >= 30
eyes,49,N >= 30
full-length portrait,49,N >= 30
garden path,49,N >= 30
hand,49,N >= 30
house,49,N >= 30
path,49,N >= 30
thick brushstrokes,49,N >= 30
tree,49,N >= 30
turbans,49,N >= 30
blue sky,48,N >= 30
bushes,48,N >= 30
central composition,48,N >= 30
charcoal black,48,N >= 30
etching,48,N >= 30
ochre yellow,48,N >= 30
stone steps,48,N >= 30
swords,48,N >= 30
vibrant red,48,N >= 30
abstract background,47,N >= 30
abstract expressionism,47,N >= 30
panoramic view,47,N >= 30
pencil drawing,47,N >= 30
stone bridge,47,N >= 30
chimneys,46,N >= 30
city street,46,N >= 30
dirt road,46,N >= 30
infant,46,N >= 30
reddish-brown,46,N >= 30
trousers,46,N >= 30
charcoal drawing,45,N >= 30
decorative borders,45,N >= 30
jewelry,45,N >= 30
pale blues,45,N >= 30
pond,45,N >= 30
seal stamp,45,N >= 30
textured brushstrokes,45,N >= 30
tree trunk,45,N >= 30
white flowers,45,N >= 30
young girl,45,N >= 30
bamboo,44,N >= 30
boots,44,N >= 30
daytime,44,N >= 30
engraving,44,N >= 30
half-length portrait,44,N >= 30
kimono,44,N >= 30
oil on canvas texture,44,N >= 30
oil on panel,44,N >= 30
reddish brown,44,N >= 30
sepia tones,44,N >= 30
small boat,44,N >= 30
soft white,44,N >= 30
standing figure,44,N >= 30
stylized landscape,44,N >= 30
tablecloth,44,N >= 30
vase,44,N >= 30
wings,44,N >= 30
bold black outlines,43,N >= 30
woodland,43,N >= 30
basket,42,N >= 30
beach,42,N >= 30
bird,42,N >= 30
detailed line work,42,N >= 30
halos,42,N >= 30
high-contrast lighting,42,N >= 30
indoor still life,42,N >= 30
misty valley,42,N >= 30
naturalistic lighting,42,N >= 30
sandy beach,42,N >= 30
scroll,42,N >= 30
stippling,42,N >= 30
autumn scene,41,N >= 30
calligraphy panels,41,N >= 30
canopy,41,N >= 30
circular format,41,N >= 30
figure,41,N >= 30
graphic illustration,41,N >= 30
grassy hill,41,N >= 30
high-angle view,41,N >= 30
landscape painting,41,N >= 30
moon,41,N >= 30
seated woman,41,N >= 30
signature,41,N >= 30
soft blue,41,N >= 30
soft blues,41,N >= 30
stylized forms,41,N >= 30
wooded area,41,N >= 30
asymmetrical layout,40,N >= 30
dark hair,40,N >= 30
dense composition,40,N >= 30
earthy greens,40,N >= 30
fine line hatching,40,N >= 30
fine-line brushwork,40,N >= 30
muted pink,40,N >= 30
ochre background,40,N >= 30
pale grey,40,N >= 30
straw hat,40,N >= 30
textured paper,40,N >= 30
warm ochre,40,N >= 30
earring,39,N >= 30
fence,39,N >= 30
minimalist,39,N >= 30
off-white background,39,N >= 30
shadows,39,N >= 30
snow,39,N >= 30
text,39,N >= 30
valley,39,N >= 30
courtyard,38,N >= 30
decorative border,38,N >= 30
emerald green,38,N >= 30
floral study,38,N >= 30
geometric shapes,38,N >= 30
gold background,38,N >= 30
headdress,38,N >= 30
lotus flowers,38,N >= 30
nature close-up,38,N >= 30
ocean waves,38,N >= 30
portrait composition,38,N >= 30
sage green,38,N >= 30
slate blue,38,N >= 30
stylized figures,38,N >= 30
vines,38,N >= 30
willow tree,38,N >= 30
arched windows,37,N >= 30
chinese characters,37,N >= 30
curtain,37,N >= 30
dark brown background,37,N >= 30
elderly man,37,N >= 30
mountain peak,37,N >= 30
profile portrait,37,N >= 30
realistic landscape,37,N >= 30
red accent,37,N >= 30
rocky cliff,37,N >= 30
cobalt blue,36,N >= 30
cream paper background,36,N >= 30
forest clearing,36,N >= 30
light green,36,N >= 30
nature scene,36,N >= 30
necklace,36,N >= 30
nose,36,N >= 30
outdoor garden,36,N >= 30
reflections,36,N >= 30
seal stamps,36,N >= 30
village scene,36,N >= 30
warrior,36,N >= 30
deep greens,35,N >= 30
delicate brushwork,35,N >= 30
fresco,35,N >= 30
pasture,35,N >= 30
pyramidal composition,35,N >= 30
sailing ships,35,N >= 30
soft yellow,35,N >= 30
tree branch,35,N >= 30
two figures,35,N >= 30
warm color palette,35,N >= 30
warm earth tones,35,N >= 30
academic realism,34,N >= 30
backyard,34,N >= 30
blue-grey,34,N >= 30
books,34,N >= 30
building,34,N >= 30
ink and wash on silk,34,N >= 30
ink outline,34,N >= 30
nasta liq calligraphy,34,N >= 30
peaches,34,N >= 30
white collar,34,N >= 30
bamboo stalks,33,N >= 30
charcoal,33,N >= 30
dark shadows,33,N >= 30
decorative patterning,33,N >= 30
dynamic composition,33,N >= 30
lotus flower,33,N >= 30
rocky shore,33,N >= 30
rowboat,33,N >= 30
sails,33,N >= 30
small figures,33,N >= 30
soft washes,33,N >= 30
stone buildings,33,N >= 30
touches of red,33,N >= 30
turquoise,33,N >= 30
visible brushwork,33,N >= 30
warm brown,33,N >= 30
winter scene,33,N >= 30
calligraphic brushwork,32,N >= 30
close-up portrait,32,N >= 30
grapes,32,N >= 30
nude woman,32,N >= 30
soft green,32,N >= 30
street scene,32,N >= 30
traditional chinese landscape style,32,N >= 30
two women,32,N >= 30
whites,32,N >= 30
artist studio,31,N >= 30
birch trees,31,N >= 30
classical drapery,31,N >= 30
coat,31,N >= 30
deep purple,31,N >= 30
dresses,31,N >= 30
grassy ground,31,N >= 30
harbor scene,31,N >= 30
lips,31,N >= 30
lithograph,31,N >= 30
open book,31,N >= 30
overlapping figures,31,N >= 30
red dress,31,N >= 30
rocky ground,31,N >= 30
sfumato,31,N >= 30
sheep,31,N >= 30
smoke,31,N >= 30
soft whites,31,N >= 30
banners,30,N >= 30
calligraphy inscription,30,N >= 30
canal,30,N >= 30
dark brown ink,30,N >= 30
detailed realism,30,N >= 30
distant figures,30,N >= 30
distant trees,30,N >= 30
donkey,30,N >= 30
folding screen,30,N >= 30
framed composition,30,N >= 30
gold accents,30,N >= 30
lace collar,30,N >= 30
lotus throne,30,N >= 30
low-key lighting,30,N >= 30
pink flowers,30,N >= 30
vibrant green,30,N >= 30
white shirt,30,N >= 30
wooded landscape,30,N >= 30
angel wings,29,10-29
atmospheric lighting,29,10-29
attendants,29,10-29
autumn landscape,29,10-29
beige paper,29,10-29
classical composition,29,10-29
coastal town,29,10-29
cream paper,29,10-29
detailed patterning,29,10-29
grays,29,10-29
handwritten signature,29,10-29
indigo blue,29,10-29
muted gold,29,10-29
natural landscape,29,10-29
ocean,29,10-29
pale beige background,29,10-29
pastel on paper,29,10-29
red flowers,29,10-29
rocky hills,29,10-29
skirt,29,10-29
soft pinks,29,10-29
spears,29,10-29
sunset,29,10-29
three-quarter view portrait,29,10-29
woodland clearing,29,10-29
album leaf format,28,10-29
arched doorways,28,10-29
birds in flight,28,10-29
black outlines,28,10-29
blue dress,28,10-29
charcoal gray,28,10-29
classical columns,28,10-29
crowd of people,28,10-29
daytime outdoor scene,28,10-29
daytime scene,28,10-29
draped fabric,28,10-29
fan format,28,10-29
forest floor,28,10-29
grassy hillside,28,10-29
impressionistic,28,10-29
landscape,28,10-29
men,28,10-29
overcast day,28,10-29
plum blossoms,28,10-29
ribbons,28,10-29
roses,28,10-29
shields,28,10-29
shoes,28,10-29
soft diffused lighting,28,10-29
vertical layout,28,10-29
violet,28,10-29
window frame,28,10-29
woodland path,28,10-29
apples,27,10-29
baskets,27,10-29
boneless technique,27,10-29
cap,27,10-29
coniferous trees,27,10-29
doorway,27,10-29
dusty pink,27,10-29
elevated perspective,27,10-29
grassy hills,27,10-29
horse-drawn carriage,27,10-29
indoor portrait setting,27,10-29
peach,27,10-29
potted plant,27,10-29
realistic rendering,27,10-29
sketchy outlines,27,10-29
stylized clouds,27,10-29
sunny day,27,10-29
sunset scene,27,10-29
terrace,27,10-29
walking stick,27,10-29
white background,27,10-29
winged figure,27,10-29
agricultural field,26,10-29
bow,26,10-29
church tower,26,10-29
crescent moon,26,10-29
deer,26,10-29
expressive brushstrokes,26,10-29
fields,26,10-29
figurative art,26,10-29
floral motifs,26,10-29
fresco painting,26,10-29
geometric textile patterns,26,10-29
helmets,26,10-29
jacket,26,10-29
monogram,26,10-29
muted purple,26,10-29
outdoor lighting,26,10-29
rolling hills,26,10-29
soft focus background,26,10-29
stone walls,26,10-29
striped pattern,26,10-29
throne,26,10-29
turban,26,10-29
white blossoms,26,10-29
asymmetrical balance,25,10-29
balustrade,25,10-29
bamboo grove,25,10-29
bridges,25,10-29
calligraphy signature,25,10-29
cliff,25,10-29
flags,25,10-29
garden scene,25,10-29
geometric borders,25,10-29
glass vase,25,10-29
gongbi,25,10-29
gothic arches,25,10-29
haystack,25,10-29
high contrast lighting,25,10-29
light grey,25,10-29
parasol,25,10-29
realistic portraiture,25,10-29
rigging,25,10-29
spear,25,10-29
street,25,10-29
studio study,25,10-29
textured oil paint,25,10-29
triangular composition,25,10-29
warm yellow,25,10-29
wood engraving,25,10-29
angels,24,10-29
apron,24,10-29
art nouveau,24,10-29
autumn leaves,24,10-29
baby,24,10-29
balcony,24,10-29
calligraphic lines,24,10-29
cherubs,24,10-29
chimney,24,10-29
clothing,24,10-29
cows,24,10-29
forest path,24,10-29
full moon,24,10-29
indian miniature painting,24,10-29
loose painterly style,24,10-29
pearl necklace,24,10-29
persian miniature,24,10-29
person,24,10-29
plum blossom,24,10-29
realism,24,10-29
realistic depiction,24,10-29
riverside,24,10-29
sandals,24,10-29
shading,24,10-29
shoulders,24,10-29
slate gray,24,10-29
standing figures,24,10-29
stars,24,10-29
tree branches,24,10-29
vest,24,10-29
water reflection,24,10-29
watercolor and ink,24,10-29
white blouse,24,10-29
architectural landscape,23,10-29
backlighting,23,10-29
bare branches,23,10-29
battlefield,23,10-29
bonnet,23,10-29
botanical study,23,10-29
bright yellow,23,10-29
close-up composition,23,10-29
crowded composition,23,10-29
dark greens,23,10-29
distant shoreline,23,10-29
domestic scene,23,10-29
figures in robes,23,10-29
flattened perspective,23,10-29
gondolas,23,10-29
helmet,23,10-29
latin inscription,23,10-29
maritime scene,23,10-29
monogram signature,23,10-29
pastel drawing,23,10-29
patterned background,23,10-29
persian miniature painting,23,10-29
plain background,23,10-29
poplar trees,23,10-29
river scene,23,10-29
scrolls,23,10-29
secluded retreat,23,10-29
soldiers,23,10-29
steps,23,10-29
street lamps,23,10-29
thatched-roof houses,23,10-29
traditional chinese landscape painting,23,10-29
trompe l oeil,23,10-29
ukiyo-e woodblock print,23,10-29
veil,23,10-29
vertical scroll composition,23,10-29
wooden boats,23,10-29
bare feet,22,10-29
bare tree,22,10-29
blossoming trees,22,10-29
bright red,22,10-29
centered portrait,22,10-29
coastal scene,22,10-29
distant landscape,22,10-29
elderly woman,22,10-29
evergreen trees,22,10-29
grassy banks,22,10-29
greyish blue,22,10-29
indigo,22,10-29
mirror,22,10-29
palace courtyard,22,10-29
pale yellow background,22,10-29
pastel tones,22,10-29
pencil sketch,22,10-29
portrait setting,22,10-29
reclining figure,22,10-29
seal script,22,10-29
seated man,22,10-29
still life composition,22,10-29
stringed instrument,22,10-29
strong outlines,22,10-29
thatched pavilion,22,10-29
tiled floor,22,10-29
traditional robes,22,10-29
waterfalls,22,10-29
white cloth,22,10-29
wooden bench,22,10-29
yellow ochre,22,10-29
young man,22,10-29
armchair,21,10-29
baroque painting,21,10-29
blues,21,10-29
bowl,21,10-29
celestial setting,21,10-29
chairs,21,10-29
church spire,21,10-29
color field painting,21,10-29
curly hair,21,10-29
cypress trees,21,10-29
deep reds,21,10-29
detailed linework,21,10-29
diagonal perspective,21,10-29
dogs,21,10-29
dome,21,10-29
dynamic diagonal composition,21,10-29
earrings,21,10-29
easel,21,10-29
flowering trees,21,10-29
garden rock,21,10-29
muted grays,21,10-29
muted white,21,10-29
naive art,21,10-29
nocturnal landscape,21,10-29
patterned border,21,10-29
patterned fabric,21,10-29
plate,21,10-29
realistic brushwork,21,10-29
sailing ship,21,10-29
seated figures,21,10-29
shirt,21,10-29
standing woman,21,10-29
studio background,21,10-29
stylized illustration,21,10-29
stylized realism,21,10-29
tempera on panel,21,10-29
text and image integration,21,10-29
towers,21,10-29
vertical format,21,10-29
warm lighting,21,10-29
water lilies,21,10-29
winding path,21,10-29
winged figures,21,10-29
young boy,21,10-29
architectural framing,20,10-29
archway,20,10-29
arrows,20,10-29
attendant,20,10-29
blue background,20,10-29
blue-gray,20,10-29
cubism,20,10-29
dense forest,20,10-29
desert landscape,20,10-29
diffuse natural light,20,10-29
distant horizon,20,10-29
floral motif,20,10-29
flower buds,20,10-29
foreground framing,20,10-29
horse-drawn carriages,20,10-29
long hair,20,10-29
mountainous background,20,10-29
outdoor terrace,20,10-29
pale flesh tones,20,10-29
pedestal,20,10-29
pillow,20,10-29
potted plants,20,10-29
red robe,20,10-29
renaissance painting,20,10-29
shades of brown,20,10-29
shawl,20,10-29
snowy ground,20,10-29
symmetrical arrangement,20,10-29
vignette composition,20,10-29
village street,20,10-29
warm flesh tones,20,10-29
warm orange,20,10-29
warm skin tones,20,10-29
wooden boat,20,10-29
wooden cross,20,10-29
abstract composition,19,10-29
arches,19,10-29
architectural setting,19,10-29
balconies,19,10-29
cartouche,19,10-29
chrysanthemums,19,10-29
circular fan format,19,10-29
crown of thorns,19,10-29
dark dress,19,10-29
defined outlines,19,10-29
diffuse lighting,19,10-29
ear,19,10-29
fine line details,19,10-29
floral borders,19,10-29
floral embroidery,19,10-29
flowing drapery,19,10-29
geometric border pattern,19,10-29
hair bun,19,10-29
interior,19,10-29
kneeling woman,19,10-29
lotus pedestal,19,10-29
muted yellows,19,10-29
outdoor garden setting,19,10-29
pale yellows,19,10-29
pastoral scene,19,10-29
pine needles,19,10-29
pitcher,19,10-29
red cloak,19,10-29
ring,19,10-29
robe,19,10-29
rustic interior,19,10-29
scholars,19,10-29
sheet music,19,10-29
symmetrical layout,19,10-29
terracotta orange,19,10-29
tower,19,10-29
varying ink density,19,10-29
visible canvas texture,19,10-29
visible pencil underdrawing,19,10-29
warm beige background,19,10-29
windmill,19,10-29
woodcut print,19,10-29
yellow flowers,19,10-29
abstract space,18,10-29
boy,18,10-29
brown background,18,10-29
dark purple,18,10-29
ducks,18,10-29
earthy ochre,18,10-29
fish,18,10-29
flute,18,10-29
flying figure,18,10-29
framed picture,18,10-29
fruit,18,10-29
hatching,18,10-29
head covering,18,10-29
ink black,18,10-29
intricate patterning,18,10-29
isometric perspective,18,10-29
kneeling figure,18,10-29
kneeling figures,18,10-29
lute,18,10-29
musicians,18,10-29
muted colors,18,10-29
natural daylighting,18,10-29
off-white paper,18,10-29
orchard,18,10-29
outdoor market,18,10-29
oval format,18,10-29
palace interior,18,10-29
patterned borders,18,10-29
persian calligraphy,18,10-29
silver,18,10-29
sofa,18,10-29
street lamp,18,10-29
stylized waves,18,10-29
visible impasto,18,10-29
white highlights,18,10-29
white horse,18,10-29
wooden floor,18,10-29
aquatint,17,10-29
arched doorway,17,10-29
black hat,17,10-29
black ink outlines,17,10-29
blonde hair,17,10-29
botanical illustration,17,10-29
bracelets,17,10-29
cloak,17,10-29
crowns,17,10-29
crucifix,17,10-29
dark browns,17,10-29
deep blues,17,10-29
detailed drapery folds,17,10-29
farmland,17,10-29
flat color fills,17,10-29
glasses,17,10-29
hair ornament,17,10-29
haloes,17,10-29
landscape orientation,17,10-29
minimalism,17,10-29
monks,17,10-29
mustard yellow,17,10-29
naive art style,17,10-29
neck,17,10-29
ochres,17,10-29
off-white paper background,17,10-29
open field,17,10-29
pale white,17,10-29
pale yellow sky,17,10-29
panoramic composition,17,10-29
pastoral landscape,17,10-29
pears,17,10-29
pink blossoms,17,10-29
pink roses,17,10-29
springtime scene,17,10-29
stone archway,17,10-29
stone building,17,10-29
tempera on canvas,17,10-29
traditional indian attire,17,10-29
village houses,17,10-29
white buildings,17,10-29
woodland setting,17,10-29
abstract landscape,16,10-29
abstract shapes,16,10-29
architectural interior,16,10-29
bedroom,16,10-29
bell tower,16,10-29
black dress,16,10-29
butterfly,16,10-29
cloud bands,16,10-29
cloud patterns,16,10-29
cool color palette,16,10-29
dark green foliage,16,10-29
dark red,16,10-29
date inscription,16,10-29
domes,16,10-29
expressionism,16,10-29
fireplace,16,10-29
girl,16,10-29
green grass,16,10-29
horizontal bands,16,10-29
impasto highlights,16,10-29
impasto technique,16,10-29
lake landscape,16,10-29
laurel wreath,16,10-29
mixed media,16,10-29
mountain pass,16,10-29
muted reds,16,10-29
outdoor park,16,10-29
outdoor path,16,10-29
palm trees,16,10-29
parlor,16,10-29
patterned robe,16,10-29
plates,16,10-29
portrait studio,16,10-29
realistic figurative style,16,10-29
riverbank scene,16,10-29
rocky hillside,16,10-29
saddle,16,10-29
seal script stamps,16,10-29
simplified forms,16,10-29
sky with clouds,16,10-29
snowy landscape,16,10-29
stripes,16,10-29
studio lighting,16,10-29
suit jacket,16,10-29
vermilion red seals,16,10-29
visible paper texture,16,10-29
white dresses,16,10-29
wooden chairs,16,10-29
baimiao technique,15,10-29
bird-and-flower genre,15,10-29
bouquet,15,10-29
chickens,15,10-29
church interior,15,10-29
classical architecture,15,10-29
cobblestone street,15,10-29
countryside path,15,10-29
dark green background,15,10-29
dark ink washes,15,10-29
decorative patterns,15,10-29
dense foliage,15,10-29
distorted perspective,15,10-29
dragon motif,15,10-29
feathers,15,10-29
fingers,15,10-29
fire,15,10-29
flower,15,10-29
flowing lines,15,10-29
fluid brushwork,15,10-29
gown,15,10-29
grey background,15,10-29
grey tones,15,10-29
miniature painting,15,10-29
misty landscape,15,10-29
monochromatic palette,15,10-29
mountain valley,15,10-29
multi-point perspective,15,10-29
muted blue-grey,15,10-29
mythological scene,15,10-29
nocturnal scene,15,10-29
outdoor field,15,10-29
outdoor natural lighting,15,10-29
pagoda,15,10-29
purple flowers,15,10-29
realistic landscape painting,15,10-29
red border,15,10-29
red drapery,15,10-29
rocky mountains,15,10-29
rocky outcrop,15,10-29
soft shading,15,10-29
stone houses,15,10-29
stone ledge,15,10-29
tents,15,10-29
textured oil painting,15,10-29
thatched roof,15,10-29
thick impasto,15,10-29
town square,15,10-29
